10.2307/2255991	1927	THE BEARING OF ECOLOGICAL STUDIES IN NEW ZEALAND ON BOTANICAL TAXONOMIC CONCEPTIONS AND PROCEDURE	JOURNAL OF ECOLOGY
10.2307/2428098	1927	STUDIES IN THE ECOLOGICAL EVOLUTION OF THE ANGIOSPERMS (CONCLUDED)	NEW PHYTOLOGIST
10.2307/1654383	1929	THE INSTRUMENTS OF PLANT BIOLOGY	SCIENCE
10.2307/2256048	1929	EXPERIMENTAL METHODS IN ADAPTATION AND MORPHOGENY	JOURNAL OF ECOLOGY
10.2307/41421952	1930	NOTES AND NEWS	MADRONO
10.2307/1293232	1964	THE IMPORTANCE OF ENVIRONMENT TO LIFE	BIOSCIENCE
10.2307/4108159	1965	VOLUME INFORMATION	KEW BULLETIN
10.2307/2439998	1962	ABSTRACTS OF PAPERS TO BE PRESENTED AT THE MEETINGS OF THE BOTANICAL SOCIETY OF AMERICA AND CERTAIN AFFILIATED GROUPS AT OREGON STATE UNIVERSITY, AUGUST 26-31, 1962	AMERICAN JOURNAL OF BOTANY
10.2307/2406077	1961	ECOTYPIC DIFFERENTIATION: OBSERVATIONS AND REFLECTIONS	EVOLUTION
10.2307/4353713	1965	CYTOGENETICS OF THE VEGETABLE CROPS IV. LEGUMES (CONTINUED)	BOTANICAL REVIEW
10.2307/3240710	1963	MOSSES	THE BRYOLOGIST
10.2307/4353629	1961	CYTOLOGY AND GENETICS OF FORAGE GRASSES	BOTANICAL REVIEW
10.2307/1716858	1965	ECONOMICS: AGRICULTURE AND ECONOMIC DEVELOPMENT	SCIENCE
10.2307/2429543	1961	FRONT MATTER	NEW PHYTOLOGIST
10.2307/1942216	1965	ENDEMISM AND SPECIATION IN THE CALIFORNIA FLORA	ECOLOGICAL MONOGRAPHS
10.2307/4108026	1965	FRONT MATTER	KEW BULLETIN
10.2307/720695	1965	THE NATURAL SCIENCES IN AFRICA	AFRICAN AFFAIRS
10.2307/1216730	1962	A NEW BOTANICAL INSTITUTE	TAXON
10.2307/2401482	1965	STUDIES ON THE WEEDS OF VEGETABLE CROPS. V. FINAL OBSERVATIONS ON AN EXPERIMENT WITH DIFFERENT PRIMARY CULTIVATIONS	JOURNAL OF APPLIED ECOLOGY
10.2307/1293133	1964	FRONT MATTER	BIOSCIENCE
10.2307/2411596	1961	RECENT DEVELOPMENTS IN THEORETICAL AND QUANTITATIVE TAXONOMY	SYSTEMATIC ZOOLOGY
10.2307/1216193	1964	SYSTEMATIC BOTANY. AN UNENDING SYNTHESIS	TAXON
10.2307/2430165	1965	VOLUME INFORMATION	NEW PHYTOLOGIST
10.2307/2430166	1965	FRONT MATTER	NEW PHYTOLOGIST
10.2307/2473466	1964	ECOTYPIC DIFFERENTIATION IN DIAMORPHA CYMOSA	BOTANICAL GAZETTE
10.2307/2430169	1965	EXPERIMENTAL TAXONOMY OF SOME BRITISH SPECIES OF THE GENUS DICRANUM	NEW PHYTOLOGIST
10.2307/1216583	1963	AARHUS BOTANICAL INSTITUTE	TAXON
